date_recorded,lon,lat,easting,northing,enquiry_category,division,client_office,grid_cell,grid_x,grid_y,year,month,dayofweek,hour,is_weekend,is_winter_spring,days_since_apr2016,repeat_within_14d_200m,source_file
2016-04-01 15:01:00,-6.695265742940106,54.235899871442825,285123.766824867,332673.385135924,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1425_1663,1425,1663,2016,4,4,15,0,1,0.6256944444444444,0,pothole_enquiries_2016.csv
2016-04-01 15:15:00,-5.94568153466839,54.685257547603804,332534.99600041,383847.38217278,Call Centre Public Enquiry,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1662_1919,1662,1919,2016,4,4,15,0,1,0.6354166666666666,1,pothole_enquiries_2016.csv
2016-04-01 15:22:00,-7.100099608754078,54.93194896783,257735.174243289,409742.018328217,Call Centre Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1288_2048,1288,2048,2016,4,4,15,0,1,0.6402777777777777,0,pothole_enquiries_2016.csv
2016-04-01 15:42:00,-6.3591079176112775,55.148586070825594,304665.842229645,434718.805055827,Call Centre Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1523_2173,1523,2173,2016,4,4,15,0,1,0.6541666666666667,0,pothole_enquiries_2016.csv
2016-04-01 16:31:00,-6.581197733749234,54.37019836232222,292260.361827768,347764.804881311,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1461_1738,1461,1738,2016,4,4,16,0,1,0.6881944444444444,1,pothole_enquiries_2016.csv
2016-04-01 16:33:00,-6.581254060134423,54.37014367445296,292256.82382816,347758.644144874,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1461_1738,1461,1738,2016,4,4,16,0,1,0.6895833333333333,1,pothole_enquiries_2016.csv
2016-04-01 16:33:00,-6.581203098166298,54.37024680008843,292259.904639306,347770.189220894,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1461_1738,1461,1738,2016,4,4,16,0,1,0.6895833333333333,0,pothole_enquiries_2016.csv
2016-04-01 16:41:00,-6.343432125868554,54.73482499658841,306755.731866465,388686.428140989,Call Centre Public Enquiry,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1533_1943,1533,1943,2016,4,4,16,0,1,0.6951388888888889,0,pothole_enquiries_2016.csv
2016-04-01 20:36:00,-5.880244356045798,54.424998406550884,337628.105037072,355007.509592062,Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (EAST),1688_1775,1688,1775,2016,4,4,20,0,1,0.8583333333333333,0,pothole_enquiries_2016.csv
2016-04-01 21:05:00,-6.007249288150588,54.110821190206366,330373.908601111,319801.196845568,Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1651_1599,1651,1599,2016,4,4,21,0,1,0.8784722222222222,0,pothole_enquiries_2016.csv
2016-04-02 07:29:00,-6.049838986112159,54.70378699200974,325761.259866493,385718.083091798,Public Enquiry,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1628_1928,1628,1928,2016,4,5,7,1,1,1.3118055555555554,0,pothole_enquiries_2016.csv
2016-04-02 13:50:00,-6.28304879968808,54.374706235419595,311623.95388371,348697.696936889,Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1558_1743,1558,1743,2016,4,5,13,1,1,1.5763888888888888,0,pothole_enquiries_2016.csv
2016-04-02 15:10:00,-6.186266981922998,54.4338337783884,317743.143292686,355436.084153879,Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1588_1777,1588,1777,2016,4,5,15,1,1,1.6319444444444444,0,pothole_enquiries_2016.csv
2016-04-03 10:03:00,-6.313596853672131,54.858469286049925,308346.21915046,402494.768950551,Public Enquiry,NORTHERN DIVISION,MID & EAST ANTRIM,1541_2012,1541,2012,2016,4,6,10,1,1,2.41875,0,pothole_enquiries_2016.csv
2016-04-03 13:54:00,-6.355210373241681,54.8916013252626,305587.485076683,406119.133474577,Public Enquiry,NORTHERN DIVISION,MID & EAST ANTRIM,1527_2030,1527,2030,2016,4,6,13,1,1,2.5791666666666666,0,pothole_enquiries_2016.csv
2016-04-03 21:16:00,-6.495046944632014,55.064015397320006,296202.460362269,425109.38593312,Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1481_2125,1481,2125,2016,4,6,21,1,1,2.886111111111111,0,pothole_enquiries_2016.csv
2016-04-03 21:20:00,-6.477860281776536,55.05243458627642,297328.548317188,423844.057046467,Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1486_2119,1486,2119,2016,4,6,21,1,1,2.888888888888889,0,pothole_enquiries_2016.csv
