"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Public Enquiry",01/04/2017 00:10:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",331589.00304949,385566.43176175,"Enquiries In Progress"
"Pothole","Public Enquiry",01/04/2017 00:15:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332243.56261795,383814.87063089,"Enquiries In Progress"
"Pothole","Public Enquiry",01/04/2017 00:19:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332218.16068884,385210.26094446,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2017 00:26:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",322875.79397647,363300.70577483,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2017 17:11:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",331779.76691219,393615.5067522,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2017 17:13:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",331278.64507663,393649.10890272,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2017 17:15:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",331434.9479934,393625.99088772,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2017 17:16:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",330301.43765346,393770.05680085,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 08:18:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292358.61936966,347966.53787783,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 11:26:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",351298.52647955,379031.74053848,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 15:15:00,"EASTERN DIVISION","BELFAST SOUTH",332434.01842562,372129.25262467,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 19:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",246191.31917282,374995.35128268,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 19:01:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",249255.66332234,385860.81832606,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 19:04:00,"WESTERN DIVISION","MID ULSTER (SOUTH)",284158.44198209,365787.89901351,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 19:05:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",335515.62490477,369886.17075184,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 19:14:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (WEST)",287811.46305349,422771.71852508,"Enquiries In Progress"
"Pothole","Public Enquiry",02/04/2017 19:14:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (WEST)",287781.16820124,422815.24257047,"Enquiries In Progress"
"Pothole","Public Enquiry",02/04/2017 19:38:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",307371.9785223,319954.66200818,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 22:38:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",333443.07344848,319647.25082547,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 22:40:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",333651.69782407,318882.11464419,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2017 22:49:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",318989.29292616,421588.28689356,"Completed Enquiries"
