"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Public Enquiry",02/04/2016 15:10:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",317743.143292686,355436.084153879,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 10:03:00,"NORTHERN DIVISION","MID & EAST ANTRIM",308346.21915046,402494.768950551,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 13:54:00,"NORTHERN DIVISION","MID & EAST ANTRIM",305587.485076683,406119.133474577,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 21:16:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",296202.460362269,425109.38593312,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 21:20:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",297328.548317188,423844.057046467,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 21:30:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",305181.703965442,418418.003085814,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 07:59:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",353260.720301653,339624.977488679,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 08:20:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",211647.272983978,347317.347050561,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 09:05:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",244432.903206445,415004.781657157,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 09:06:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",244397.09897004,414943.591182554,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 09:08:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",331238.422527116,382496.356371847,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 09:50:15,"WESTERN DIVISION","LONDONDERRY & STRABANE",251248.796875,416515.59375,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 10:08:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",345671.56321097,369682.874144205,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 10:27:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",239605.225798334,367087.981029339,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 10:37:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",326071.811628497,377935.22379305,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 10:42:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",248476.276249478,328975.398170251,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 11:13:00,"WESTERN DIVISION","MID ULSTER (NORTH)",281206.491514212,378544.345125194,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 11:18:00,"NORTHERN DIVISION","MID & EAST ANTRIM",311827.108923427,404717.467548937,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 11:27:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",306785.200542195,349955.047480328,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 11:39:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",306303.206256393,327870.404297349,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 11:40:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",306264.770256786,327866.023218782,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 11:42:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",306486.245899386,327878.471795884,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 11:44:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",282244.732016527,333968.141923197,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 11:48:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",282247.261011769,333973.421750181,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 11:58:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",293297.093100917,316245.59151305,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 12:16:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",324416.51175254,363708.268477642,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 12:27:42,"EASTERN DIVISION","BELFAST NORTH",328629.31568487,368937.94306645,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 12:35:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",353992.96229034,335593.71637903,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 12:36:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",301117.126819431,349033.751275231,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 12:40:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",307515.883143738,347012.749517338,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 12:50:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",294348.940362623,325927.344483081,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 13:10:00,"WESTERN DIVISION","MID ULSTER (SOUTH)",268809.42232673,354587.37343533,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 13:12:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",239600.1088375,326347.371580444,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 13:12:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",226171.002033902,368904.615167131,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 13:33:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",328818.363129288,365306.861545667,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 13:44:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",348831.683233102,374503.169916272,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 13:52:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",348423.83976339,374917.981733175,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 13:53:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",348718.110323617,374401.166947629,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 13:59:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",348735.137453526,374517.021452702,"Completed Enquiries"
