scenario,policy,frequency_days,capacity_rate,spot_radius_m,use_sections,selected_sections,section_treatment_cost,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,event_reduction_pct,expected_spot_interventions,used_capacity,expected_spot_intervention_rate,expected_prevented_by_spot
authority_low_cost_spot,risk,1,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.0,100.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.05,100.0,False,0,0.0,7665608.000000001,7702741.7222545855,-37133.72225458454,-0.004844197910274637,49126.48499835073,0.0047308549766869904,2378.4381727386904,2468,0.04818553834559745,233.51500164926986
authority_low_cost_spot,risk,1,0.05,100.0,True,2971,1197770.0,7665608.000000001,6215436.169050605,1450171.830949396,0.1891789706634354,31828.658255414986,0.3551730499308147,2419.8166553600036,2468,0.04902383823662892,80.94174458502437
authority_low_cost_spot,risk,1,0.1,100.0,False,0,0.0,7665608.000000001,7739222.385365979,-73614.38536597788,-0.009603202429080365,48899.92904254064,0.009320724421785992,4700.6936182573045,4936,0.09523285288203616,460.07095745936533
authority_low_cost_spot,risk,1,0.1,100.0,True,2971,1197770.0,7665608.000000001,6277290.035669727,1388317.9643302737,0.1811099607924477,31748.03553538199,0.3568064113577393,4829.880655359997,4936,0.09785009431442458,161.5644646180091
authority_low_cost_spot,risk,7,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,7,0.0,100.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,risk,7,0.05,100.0,False,0,0.0,7665608.000000001,7706085.853575348,-40477.85357534699,-0.005280449192725089,49163.361985831405,0.003983752312978018,2301.2228508013422,2376,0.04662120848463011,196.63801416858914
authority_low_cost_spot,risk,7,0.05,100.0,True,2971,1197770.0,7665608.000000001,6217726.030222411,1447881.9697775897,0.18888025187011773,31858.284915254982,0.3545728339697127,2344.924915200002,2376,0.047506582560778,51.31508474502449
authority_low_cost_spot,risk,7,0.1,100.0,False,0,0.0,7665608.000000001,7751346.02385755,-85738.02385754883,-0.011184764973313117,48997.94170881246,0.007335054521627613,4600.3135605630705,4752,0.09319922124317404,362.05829118754474
authority_low_cost_spot,risk,7,0.1,100.0,True,2971,1197770.0,7665608.000000001,6281532.458702803,1384075.5412971983,0.18055652484410867,31803.803932182,0.3556765816008509,4686.704732159999,4752,0.09494944757212316,105.79606781800946
authority_low_cost_spot,risk,1,0.0,200.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.0,200.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.05,200.0,False,0,0.0,7665608.000000001,7631755.5070726555,33852.49292734545,0.004416152368780851,48711.195684336155,0.0131443337857343,2168.0757386665646,2468,0.043923738627766704,648.8043156638602
authority_low_cost_spot,risk,1,0.05,200.0,True,2971,1197770.0,7665608.000000001,6179714.869207323,1485893.1307926783,0.19383891412040352,31626.72685856667,0.3592640425736088,2278.489568103885,2468,0.04616064765202361,282.87314143333344
authority_low_cost_spot,risk,1,0.1,200.0,False,0,0.0,7665608.000000001,7612283.392493734,53324.607506266795,0.006956344168168629,48167.568463833195,0.024157851218938514,4272.845432936993,4936,0.0865649398893232,1192.4315361668291
