scenario,policy,frequency_days,capacity_rate,spot_radius_m,use_sections,selected_sections,section_treatment_cost,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,event_reduction_pct,expected_spot_interventions,used_capacity,expected_spot_intervention_rate,expected_prevented_by_spot
authority_low_cost_spot,fifo,1,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.0,100.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,fifo,1,0.05,100.0,False,0,0.0,7665608.000000001,7706332.11569741,-40724.115697409026,-0.005312574775204918,49131.80705536,0.0046230337244733116,2468.0,2468,0.05,228.19294463999935
authority_low_cost_spot,risk,1,0.05,100.0,False,0,0.0,7665608.000000001,7702741.7222545855,-37133.72225458454,-0.004844197910274637,49126.48499835073,0.0047308549766869904,2378.4381727386904,2468,0.04818553834559745,233.51500164926986
authority_low_cost_spot,risk,1,0.05,100.0,True,2971,1197770.0,7665608.000000001,6215436.169050605,1450171.830949396,0.1891789706634354,31828.658255414986,0.3551730499308147,2419.8166553600036,2468,0.04902383823662892,80.94174458502437
authority_low_cost_spot,fifo,1,0.1,100.0,False,0,0.0,7665608.000000001,7737292.0402718475,-71684.04027184658,-0.009351383513459932,48842.31005043048,0.010488045979933507,4928.1039999999975,4936,0.09984003241491081,517.6899495695245
authority_low_cost_spot,risk,1,0.1,100.0,False,0,0.0,7665608.000000001,7739222.385365979,-73614.38536597788,-0.009603202429080365,48899.92904254064,0.009320724421785992,4700.6936182573045,4936,0.09523285288203616,460.07095745936533
authority_low_cost_spot,risk,1,0.1,100.0,True,2971,1197770.0,7665608.000000001,6277290.035669727,1388317.9643302737,0.1811099607924477,31748.03553538199,0.3568064113577393,4829.880655359997,4936,0.09785009431442458,161.5644646180091
authority_low_cost_spot,fifo,1,0.2,100.0,False,0,0.0,7665608.000000001,7811444.547190544,-145836.54719054326,-0.019024785403916198,48356.89871215557,0.02032214926751278,9773.758172159978,9861,0.19800968744246308,1003.101287844455
authority_low_cost_spot,risk,1,0.2,100.0,False,0,0.0,7665608.000000001,7821183.477247823,-155575.4772478221,-0.020295256064205486,48507.9400391784,0.017262154797844403,9329.241385725205,9861,0.18900407993770674,852.059960821616
authority_low_cost_spot,risk,1,0.2,100.0,True,2971,1197770.0,7665608.000000001,6404397.1643100735,1261210.8356899275,0.16452848041406856,31616.508090389994,0.3594710678608186,9610.611078143938,9858,0.1947044383740668,293.09190961001
authority_low_cost_spot,fifo,1,0.35,100.0,False,0,0.0,7665608.000000001,7993059.926021632,-327451.9260216309,-0.04271701944863745,48112.33587691142,0.025276825832426658,16889.635915018167,17209,0.34217252664137293,1247.6641230885693
authority_low_cost_spot,risk,1,0.35,100.0,False,0,0.0,7665608.000000001,7962469.87574836,-296861.87574835867,-0.03872646184730013,48032.61495094716,0.02689191752538173,16299.571414984615,17209,0.3302182215353447,1327.3850490528366
authority_low_cost_spot,risk,1,0.35,100.0,True,2971,1197770.0,7665608.000000001,6549727.883966658,1115880.1160333427,0.14556968162647274,31499.672988591596,0.36183806749206654,14907.928348569492,15294,0.3020244803194792,409.9270114084144
authority_low_cost_spot,fifo,7,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,7,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,7,0.0,100.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,fifo,7,0.05,100.0,False,0,0.0,7665608.000000001,7704840.218078721,-39232.21807872038,-0.0051179525588473055,49140.4820224,0.004447284797406816,2376.0,2376,0.04813614262560778,219.51797759999909
authority_low_cost_spot,risk,7,0.05,100.0,False,0,0.0,7665608.000000001,7706085.853575348,-40477.85357534699,-0.005280449192725089,49163.361985831405,0.003983752312978018,2301.2228508013422,2376,0.04662120848463011,196.63801416858914
authority_low_cost_spot,risk,7,0.05,100.0,True,2971,1197770.0,7665608.000000001,6217726.030222411,1447881.9697775897,0.18888025187011773,31858.284915254982,0.3545728339697127,2344.924915200002,2376,0.047506582560778,51.31508474502449
authority_low_cost_spot,fifo,7,0.1,100.0,False,0,0.0,7665608.000000001,7745737.418235375,-80129.41823537368,-0.010453106685780655,48933.25414549503,0.008645580520765127,4744.1039999999975,4752,0.09611231766612637,426.74585450496556
authority_low_cost_spot,risk,7,0.1,100.0,False,0,0.0,7665608.000000001,7751346.02385755,-85738.02385754883,-0.011184764973313117,48997.94170881246,0.007335054521627613,4600.3135605630705,4752,0.09319922124317404,362.05829118754474
authority_low_cost_spot,risk,7,0.1,100.0,True,2971,1197770.0,7665608.000000001,6281532.458702803,1384075.5412971983,0.18055652484410867,31803.803932182,0.3556765816008509,4686.704732159999,4752,0.09494944757212316,105.79606781800946
authority_low_cost_spot,fifo,7,0.2,100.0,False,0,0.0,7665608.000000001,7818071.716620656,-152463.7166206548,-0.019889318188544832,48473.64141010125,0.017957021675420407,9401.011199999979,9480,0.1904580875202589,886.3585898987748
authority_low_cost_spot,risk,7,0.2,100.0,False,0,0.0,7665608.000000001,7840165.259960811,-174557.25996080972,-0.022771482700499387,48668.487508283295,0.014009572360549128,9136.395007274017,9480,0.1850971435833472,691.5124917167284
authority_low_cost_spot,risk,7,0.2,100.0,True,2971,1197770.0,7665608.000000001,6404583.529480139,1261024.4705198621,0.16450416855647484,31678.31868786348,0.3582188272312909,9305.594207841448,9480,0.18852500421072627,231.28131213652406
authority_low_cost_spot,fifo,7,0.35,100.0,False,0,0.0,7665608.000000001,7986171.635411687,-320563.63541168626,-0.04181842267589032,48176.12771326769,0.02398444665178907,16345.398624153524,16608,0.3311466495979239,1183.8722867323168
authority_low_cost_spot,risk,7,0.35,100.0,False,0,0.0,7665608.000000001,7990442.007121968,-324834.00712196715,-0.04237550460732757,48282.141368534656,0.02183668216096726,15950.273901124247,16608,0.3231416916759369,1077.85863146536
authority_low_cost_spot,risk,7,0.35,100.0,True,2971,1197770.0,7665608.000000001,6561731.141451062,1103876.8585489392,0.14400382312126306,31595.317438993086,0.35990037603336533,14815.565235707012,15106,0.3001532665256688,314.28256100692624
authority_low_cost_spot,fifo,14,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,14,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
