scenario,event_cost,section_effectiveness,selected_sections,section_treatment_cost,section_predicted_burden,section_actual_holdout_events,spot_premium,spot_effectiveness,spot_horizon_days,threshold,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,expected_prevented_events_total,event_reduction_pct,expected_spot_interventions,spot_intervention_rate,expected_prevented_by_spot,events_initially_in_selected_sections,selected_section_event_share,nominal_flagged_rate_before_prevention
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.2,7665608.000000001,7140440.749308306,525167.2506916951,0.0685095364505588,32312.663710091376,17047.336289908624,0.3453674288879381,18119.254335091344,0.36708375881465444,6714.88628990862,22961,0.4651742301458671,0.963128038897893
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.225,7665608.000000001,7087190.321533767,578417.6784662344,0.07545620366528451,32438.169003623774,16921.830996376226,0.34282477707407266,17149.369003623753,0.3474345422127989,6589.380996376227,22961,0.4651742301458671,0.9338735818476499
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.25,7665608.000000001,7014056.768476146,651551.2315238547,0.08499668017512174,32645.904370177755,16714.095629822245,0.33861619995588016,15744.104263845375,0.31896483516704566,6381.645629822229,22961,0.4651742301458671,0.8877228525121555
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.275,7665608.000000001,6935036.566725254,730571.4332747469,0.0953050864686463,32949.62283362348,16410.377166376522,0.3324630706316151,14061.60187552653,0.28487848208116956,6077.927166376514,22961,0.4651742301458671,0.8280591572123177
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.3,7665608.000000001,6866223.487158537,799384.512841464,0.10428194512965755,33257.16705543268,16102.832944567323,0.32623243404714997,12507.272579345625,0.2533888285929016,5770.382944567308,22961,0.4651742301458671,0.7726904376012966
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.325,7665608.000000001,6814316.780001925,851291.2199980756,0.11105332023214277,33559.178730969754,15800.821269030246,0.3201138830840812,11189.817641113174,0.22669808835318422,5468.371269030241,22961,0.4651742301458671,0.7213128038897894
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.35,7665608.000000001,6772990.169582556,892617.8304174449,0.11644449212866674,33814.536134059505,15545.463865940495,0.31494051592261946,10110.036106191435,0.20482244947713604,5213.013865940492,22961,0.4651742301458671,0.6726904376012965
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.375,7665608.000000001,6738989.355509657,926618.6444903435,0.12087999340565594,34058.44228851788,15301.55771148212,0.3099991432634141,9151.643574721887,0.18540606917994099,4969.107711482117,22961,0.4651742301458671,0.6243922204213939
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.4,7665608.000000001,6712180.90486516,953427.0951348413,0.1243772307604095,34344.68001943963,15015.319980560373,0.30420016168072067,8201.494637967682,0.16615669850015563,4682.869980560377,22961,0.4651742301458671,0.5722649918962723
integrated_authority_conservative,155.3,0.45,1840,763340.0,18321.986685667493,22961,75.0,0.5,14,0.425,7665608.000000001,6689491.224951279,976116.7750487216,0.12733716295546568,34633.76521844815,14726.234781551851,0.29834349233289814,7300.366487036649,0.1479004555720553,4393.784781551849,22961,0.4651742301458671,0.5209481361426256
