scenario,threshold,n,actual_positives,flagged_n,flagged_rate,tp,fp,fn,precision,recall,f1,incremental_fast_repair_cost,avoided_repeat_cost,effectiveness,gross_benefit,intervention_cost,net_value,net_value_per_flagged,break_even_avoided_cost,break_even_avoided_cost_multiple
large_patch_premium,0.225,49360,28081,46096,0.9338735818476499,27284,18812,797,0.5918951752863589,0.9716178198782095,0.7356458201329255,300.0,579.8,0.6,9491557.92,13828800.0,-4337242.08,-94.09150642138147,844.7441724087377,2.8158139080291256
medium_patch_full_cost_not_incremental,0.225,49360,28081,46096,0.9338735818476499,27284,18812,797,0.5918951752863589,0.9716178198782095,0.7356458201329255,1328.0,579.8,0.6,9491557.92,61215488.0,-51723930.08,-1122.0915064213814,3739.400869862679,2.8158139080291256
direct_repeat_only_low_increment,0.25,49360,28081,43818,0.8877228525121555,26571,17247,1510,0.6063946323428728,0.9462269862184395,0.7391201546614,30.86,87.8,0.5,1166466.9,1352223.48,-185756.58000000007,-4.239275640147886,101.78190357908997,3.298182228745625
direct_repeat_only_high_effect,0.25,49360,28081,43818,0.8877228525121555,26571,17247,1510,0.6063946323428728,0.9462269862184395,0.7391201546614,30.86,87.8,0.75,1749700.3499999999,1352223.48,397476.8699999999,9.07108653977817,67.85460238605998,2.198788152497083
ops_admin_low_claim,0.25,49360,28081,43818,0.8877228525121555,26571,17247,1510,0.6063946323428728,0.9462269862184395,0.7391201546614,75.0,155.3,0.6,2475885.78,3286350.0,-810464.2200000002,-18.496148158291117,206.13638929660155,2.7484851906213543
moderate_deterioration,0.25,49360,28081,43818,0.8877228525121555,26571,17247,1510,0.6063946323428728,0.9462269862184395,0.7391201546614,125.0,272.8,0.6,4349141.279999999,5477250.0,-1128108.7200000007,-25.745326578118597,343.56064882766924,2.7484851906213543
large_patch_premium,0.25,49360,28081,43818,0.8877228525121555,26571,17247,1510,0.6063946323428728,0.9462269862184395,0.7391201546614,300.0,579.8,0.6,9243519.479999999,13145400.0,-3901880.5200000014,-89.04743530056145,824.5455571864062,2.7484851906213543
medium_patch_full_cost_not_incremental,0.25,49360,28081,43818,0.8877228525121555,26571,17247,1510,0.6063946323428728,0.9462269862184395,0.7391201546614,1328.0,579.8,0.6,9243519.479999999,58190304.0,-48946784.52,-1117.0474353005616,3649.9883331451583,2.7484851906213543
direct_repeat_only_low_increment,0.275,49360,28081,40873,0.8280591572123177,25559,15314,2522,0.6253272331367896,0.9101883836045724,0.7413348029120863,30.86,87.8,0.5,1122040.0999999999,1261340.78,-139300.68000000017,-3.408134465294942,98.70032317383308,3.1983254430924526
direct_repeat_only_high_effect,0.275,49360,28081,40873,0.8280591572123177,25559,15314,2522,0.6253272331367896,0.9101883836045724,0.7413348029120863,30.86,87.8,0.75,1683060.15,1261340.78,421719.3699999999,10.31779830205759,65.80021544922205,2.132216962061635
