scenario,event_cost,intervention_premium,effectiveness,suppression_horizon_days,threshold,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,expected_prevented_events,event_reduction_pct,expected_interventions,intervention_rate,nominal_flagged_rate_before_suppression
repair_only_14d_conservative,87.8,30.86,0.5,14,0.2,4333808.0,3796598.6003773552,537209.3996226448,0.12395782176382636,32468.150498842228,16891.849501157478,0.3422173723897442,30651.166123842275,0.6209717610178743,0.963128038897893
repair_only_14d_conservative,87.8,30.86,0.5,14,0.225,4333808.0,3777503.3181113736,556304.6818886264,0.12836394272395696,32680.236753026376,16679.7632469734,0.3379206492498708,29428.986753026424,0.5962112389186877,0.9338735818476499
repair_only_14d_conservative,87.8,30.86,0.5,14,0.25,4333808.0,3752313.4436485264,581494.5563514736,0.13417635399433328,33056.75040030164,16303.249599698072,0.33029273905385664,27541.50221985502,0.5579720871121358,0.8877228525121555
repair_only_14d_conservative,87.8,30.86,0.5,14,0.275,4333808.0,3727757.640509761,606050.3594902391,0.13984245713936544,33613.517934987416,15746.48206501231,0.31901300780009284,25161.722806886097,0.5097593761524736,0.8280591572123177
repair_only_14d_conservative,87.8,30.86,0.5,14,0.3,4333808.0,3709762.5443008123,624045.4556991877,0.14399471681698583,34165.38117955543,15194.618820444311,0.3078326341257004,23008.492441297658,0.46613639467782936,0.7726904376012966
repair_only_14d_conservative,87.8,30.86,0.5,14,0.325,4333808.0,3698861.827968943,634946.1720310571,0.1465099912204364,34723.24988823319,14636.750111766525,0.2965305938364426,21068.06506107117,0.42682465682883247,0.7213128038897894
repair_only_14d_conservative,87.8,30.86,0.5,14,0.35,4333808.0,3695300.298747156,638507.7012528442,0.1473317925604559,35305.76097629227,14054.239023707427,0.2847293157153105,19295.349482542315,0.3909106459186044,0.6726904376012965
repair_only_14d_conservative,87.8,30.86,0.5,14,0.375,4333808.0,3693599.2829291467,640208.7170708533,0.1477242916785546,35887.346267096276,13472.653732903296,0.2729467936163639,17585.556729768756,0.35627140862578516,0.6243922204213939
repair_only_14d_conservative,87.8,30.86,0.5,14,0.4,4333808.0,3702759.42595705,631048.5740429498,0.1456106440439793,36612.15105278394,12747.848947215605,0.2582627420424647,15820.23861066828,0.32050726520802836,0.5722649918962723
repair_only_14d_conservative,87.8,30.86,0.5,14,0.425,4333808.0,3717250.236798829,616557.7632011711,0.14226697703293986,37372.4672889357,11987.532711063845,0.24285925265527344,14126.62374701549,0.2861957809362944,0.5209481361426256
repair_only_14d_conservative,87.8,30.86,0.5,14,0.45,4333808.0,3734421.648575284,599386.351424716,0.13830477755930026,38124.016855063135,11235.98314493644,0.2276333700351877,12544.81428073219,0.25414939790786445,0.4720421393841167
repair_only_14d_conservative,87.8,30.86,0.5,14,0.475,4333808.0,3758484.9908228903,575323.0091771097,0.13275230678818944,38906.53689612084,10453.463103878887,0.21178004667502356,11098.219421458536,0.2248423707750919,0.42518233387358184
repair_only_14d_conservative,87.8,30.86,0.5,14,0.5,4333808.0,3782708.073330208,551099.9266697918,0.1271629769177111,39623.12852717908,9736.871472820618,0.19726238802311433,9844.374227046852,0.19944032064519554,0.3833670988654781
repair_only_14d_conservative,87.8,30.86,0.5,14,0.525,4333808.0,3813149.0245225085,520658.9754774915,0.12013891143250728,40368.41766215642,8991.58233784328,0.18216333747657176,8710.36791276792,0.1764661246508898,0.3436588330632091
repair_only_14d_conservative,87.8,30.86,0.5,14,0.55,4333808.0,3844127.8753748788,489680.12462512124,0.11299072885211371,41103.331085560705,8256.66891443907,0.1672744917836162,7623.311926946077,0.1544431103514197,0.30567260940032415
repair_only_14d_conservative,87.8,30.86,0.5,14,0.575,4333808.0,3878791.862669767,455016.1373302331,0.1049922233126694,41849.582743179846,7510.417256820055,0.15215594118355255,6623.412113466038,0.13418582077524388,0.26952998379254456
repair_only_14d_conservative,87.8,30.86,0.5,14,0.6,4333808.0,3918403.4468193846,415404.5531806154,0.09585208970508509,42637.02208519816,6722.977914801649,0.1362029561345592,5666.652875634459,0.11480252989534966,0.23397487844408427
repair_only_14d_conservative,87.8,30.86,0.5,14,0.625,4333808.0,3956791.4022688433,377016.59773115674,0.0869943010237548,43379.080546604484,5980.919453395395,0.12116935683540349,4799.356133510574,0.09723168828019801,0.20135737439222043
repair_only_14d_conservative,87.8,30.86,0.5,14,0.65,4333808.0,3997141.737169298,336666.2628307021,0.07768370514584451,44123.03858748549,5236.96141251442,0.10609727334915942,3990.244627068121,0.0808396399324984,0.17040113452188008
repair_only_14d_conservative,87.8,30.86,0.5,14,0.675,4333808.0,4033161.0929408194,300646.90705918055,0.06937245652303484,44780.63940205867,4579.360597941331,0.09277472848341436,3286.4858536421066,0.06658196624072339,0.14280794165316046
repair_only_14d_conservative,87.8,30.86,0.5,14,0.7,4333808.0,4072852.085100982,260955.91489901813,0.06021399999700451,45446.59539410741,3913.4046058926256,0.07928291340949328,2677.9329067326235,0.05425309778631733,0.11774716369529983
repair_only_14d_conservative,87.8,30.86,0.5,14,0.725,4333808.0,4112848.1066294266,220959.8933705734,0.05098515978801401,46116.71579749823,3243.28420250181,0.0657067301965512,2067.4160600318774,0.04188444205899265,0.09288897893030794
repair_only_14d_conservative,87.8,30.86,0.5,14,0.75,4333808.0,4149965.648411316,183842.35158868413,0.04242051138137272,46710.87182955144,2649.1281704485773,0.053669533436964324,1579.750543754029,0.03200467065952247,0.0715964343598055
repair_only_14d_conservative,87.8,30.86,0.5,14,0.775,4333808.0,4183192.2923490456,150615.70765095437,0.03475366413347208,47235.71075902031,2124.2892409796746,0.04303665399067446,1163.2173593874872,0.023565991883863192,0.05393030794165316
repair_only_14d_conservative,87.8,30.86,0.5,14,0.8,4333808.0,4218792.119538789,115015.88046121132,0.026539219195038478,47761.9218645332,1598.0781354667968,0.03237597519179092,819.6817834245361,0.016606194964030308,0.03853322528363047
repair_only_14d_conservative,87.8,30.86,0.5,14,0.825,4333808.0,4247125.184561037,86682.81543896254,0.02000153570231135,48184.95736943569,1175.0426305643082,0.023805563828288336,534.2167053904876,0.010822866802886702,0.026195299837925446
repair_only_14d_conservative,87.8,30.86,0.5,14,0.85,4333808.0,4272028.40838856,61779.59161144029,0.014255267333356783,48539.89155098862,820.108449011383,0.01661483891838288,331.36520465256285,0.0067132334816159414,0.016997568881685576
repair_only_14d_conservative,87.8,30.86,0.5,14,0.875,4333808.0,4292969.063997691,40838.936002309434,0.009423337628780379,48827.49580224215,532.5041977578528,0.010788172563975917,191.6698822001351,0.003883101341169674,0.010149918962722852
repair_only_14d_conservative,87.8,30.86,0.5,14,0.9,4333808.0,4307453.114263201,26354.885736798868,0.006081230579850069,49024.1631232987,335.83687670130297,0.006803826513397521,101.47738306795931,0.0020558627039700024,0.0059359805510534845
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.2,4333808.0,3332921.8610231886,1000886.1389768114,0.23094842664391488,28560.453635447244,20799.546364552036,0.4213846508215712,26743.81178974407,0.5418114219964358,0.963128038897893
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.225,4333808.0,3322238.958888332,1011569.0411116681,0.23341344173799763,28842.28033468657,20517.719665312685,0.4156750337381165,25595.811584686573,0.5185537193007814,0.9338735818476499
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.25,4333808.0,3311790.4081787756,1022017.5918212244,0.23582438165724565,29341.6033183025,20018.396681696668,0.40555908998576784,23836.605211678903,0.4829133956985191,0.8877228525121555
